SB_DEPTH_pxl,SB_DEPTH_cm,CT,CT_std
166,1.6728032320264439,827.4183999340688,303.974118736278
167,1.6828803599302178,825.2055325483409,305.4634626932677
168,1.6929574878339915,822.9926651626129,306.9528066502573
169,1.7030346157377652,820.9690304004286,308.1332293341925
170,1.713111743641539,820.5174820492217,306.7472291342913
171,1.7231888715453128,820.0659336980149,305.36122893439006
172,1.7332659994490864,819.614385346808,303.97522873448884
173,1.7433431273528603,819.1628369956012,302.5892285345876
174,1.753420255256634,818.7112886443944,301.20322833468646
175,1.7634973831604077,818.2597402931875,299.81722813478524
176,1.7735745110641816,820.6009106736307,300.9876243468034
177,1.7836516389679553,823.4265936788537,302.6015332983894
178,1.793728766871729,826.2522766840766,304.21544224997547
179,1.803805894775503,829.0779596892996,305.8293512015615
180,1.8138830226792766,831.9036426945225,307.44326015314755
181,1.8239601505830503,834.7293256997456,309.0571691047336
182,1.8340372784868242,837.8462903441812,311.7223578419025
183,1.8441144063905979,841.1599821264848,315.0975647727187
184,1.8541915342943716,844.4736739087884,318.472771703535
185,1.8642686621981455,847.7873656910921,321.8479786343512
186,1.8743457901019192,851.1010574733958,325.22318556516746
187,1.8844229180056928,854.4147492556995,328.59839249598366
188,1.8945000459094667,857.245577979005,331.4861213040503
189,1.9045771738132404,859.1457270966612,333.4342753432691
190,1.9146543017170141,861.0458762143173,335.3824293824879
191,1.924731429620788,862.9460253319735,337.3305834217067
192,1.9348085575245617,864.8461744496296,339.27873746092547
193,1.9448856854283354,866.7463235672858,341.22689150014423
194,1.9549628133321093,868.63243141618,342.9932024172438
195,1.965039941235883,870.3699109414758,342.8346845416985
196,1.9751170691396567,872.1073904667718,342.67616666615316
197,1.9851941970434306,873.8448699920677,342.5176487906079
198,1.9952713249472043,875.5823495173636,342.35913091506256
199,2.005348452850978,877.3198290426595,342.20061303951724
200,2.015425580754752,879.0573085679555,342.04209516397196
201,2.0255027086585256,878.7413813085268,340.98014853781626
202,2.0355798365622992,878.0079658188337,339.7345213701001
203,2.045656964466073,877.2745503291405,338.4888942023839
204,2.0557340923698466,876.5411348394474,337.2432670346677
205,2.0658112202736207,875.8077193497543,335.99763986695154
206,2.0758883481773944,875.0743038600613,334.75201269923537
207,2.085965476081168,873.6134221343141,333.5308983029412
208,2.096042603984942,871.616512655685,332.32784594874744
209,2.1061197318887155,869.619603177056,331.1247935945537
210,2.116196859792489,867.6226936984269,329.92174124035995
211,2.1262739876962633,865.6257842197979,328.7186888861662
212,2.136351115600037,863.6288747411688,327.51563653197246
213,2.1464282435038107,861.7627445375035,326.0988557527554
214,2.1565053714075844,860.1739113638471,324.22889722420524
215,2.166582499311358,858.5850781901906,322.358938695655
216,2.1766596272151317,856.9962450165343,320.48898016710484
217,2.186736755118906,855.4074118428779,318.61902163855467
218,2.1968138830226795,853.8185786692216,316.7490631100045
