SB_DEPTH_cm,SB_DEPTH_pxl,CT,CT_std
252.5,25056.742,1052.3561,39.794674
253.0,25106.36,1101.6017,33.68861
253.5,25155.977,1092.9313,26.355402
254.0,25205.594,1148.5038,63.568676
254.5,25255.21,1094.6672,49.53619
255.0,25304.828,1126.4585,39.53213
255.5,25354.447,1075.9878,45.734264
256.0,25404.064,1093.4756,63.042282
256.5,25453.682,1089.115,41.5295
257.0,25503.299,1082.3843,39.775013
257.5,25552.916,1075.0681,43.181316
258.0,25602.533,1058.0598,33.222626
258.5,25652.15,1114.1703,231.41592
259.0,25701.768,1078.3318,79.57841
259.5,25751.385,1119.3181,279.63492
260.0,25801.004,1046.0007,37.358345
260.5,25850.62,1045.7416,27.942947
261.0,25900.236,1079.3964,45.673824
261.5,25949.855,1078.6237,117.829155
262.0,25999.47,1060.7607,40.90401
262.5,26049.088,1047.2338,36.785732
263.0,26098.707,1051.3743,24.223873
263.5,26148.324,1051.8444,17.997234
264.0,26197.94,1050.4576,16.183561
264.5,26247.557,1126.9142,229.33928
265.0,26297.176,1124.9854,145.90277
265.5,26346.793,1123.1233,138.93324
266.0,26396.408,1119.2388,183.07904
266.5,26446.027,1176.3894,363.14996
267.0,26495.645,1117.3256,213.15883
267.5,26545.264,1101.3303,152.1449
268.0,26594.879,1083.6702,37.58085
268.5,26644.496,1088.9369,39.824562
269.0,26694.115,1113.2389,74.28381
269.5,26743.73,1112.4099,56.177124
270.0,26793.348,1116.5477,58.945015
270.5,26842.967,1122.7678,128.29213
271.0,26892.584,1099.3944,100.55602
271.5,26942.2,1130.5137,127.44986
272.0,26991.818,1079.5746,47.979603
272.5,27041.436,1146.8254,151.538
273.0,27091.05,1142.0189,191.91911
273.5,27140.67,1073.0466,36.00332
274.0,27190.287,1089.958,42.84425
274.5,27239.904,1104.0493,68.70107
275.0,27289.521,1106.8481,49.03388
275.5,27339.139,1188.0052,146.75221
276.0,27388.758,1090.2648,116.15673
276.5,27438.373,1238.816,205.289
277.0,27487.99,1100.3914,121.24294
277.5,27537.61,1075.4899,60.132263
