SB_DEPTH_cm,SB_DEPTH_pxl,CT,CT_std
352.0,34812.227,524.4605,15.082364
352.5,34861.676,527.2887,18.427298
353.0,34911.125,527.3912,16.607706
353.5,34960.574,528.0884,14.988069
354.0,35010.02,527.4364,17.376959
354.5,35059.473,531.6536,34.082188
355.0,35108.92,530.1001,18.916622
355.5,35158.37,532.55566,23.751858
356.0,35207.82,528.7264,13.938607
356.5,35257.27,529.99164,12.4789095
357.0,35306.72,528.7972,11.4270525
357.5,35356.168,536.47656,14.333655
358.0,35405.617,534.5777,16.523539
358.5,35455.066,538.39154,18.535692
359.0,35504.51,532.04834,16.60112
359.5,35553.965,534.24835,15.165154
360.0,35603.414,544.77905,12.8775425
360.5,35652.863,572.0763,25.975073
361.0,35702.312,599.3039,36.51086
361.5,35751.76,595.60675,46.29426
362.0,35801.207,589.3267,27.25531
362.5,35850.66,583.4169,17.928526
363.0,35900.11,590.79565,16.88763
363.5,35949.56,593.6023,19.92502
