SB_DEPTH_cm,SECT_NUM_cm,SECT_DEPTH_cm,CORE_THICK_cm,PWAmp,PWVel_m/s,Den_gm/cc,MS,Imp,FP
76,1,76,11.369,19,1100.581,1.1858,22.9222,1305.021,0.9073
77,1,77,11.441,16,1108.087,,,,
78,1,78,11.452,16,1107.008,,,,
79,2,0.8,11.377,15,1101.355,1.1666,23.8642,1284.836,0.9184
80,2,1.8,11.348,12,1096.425,1.1921,24.1256,1307.073,0.9036
81,2,2.8,11.351,9,1097.245,1.1995,24.558,1316.16,0.8994
82,2,3.8,11.311,14,1093.378,1.176,25.9168,1285.863,0.913
83,2,4.8,11.098,6,1072.271,1.1897,27.0393,1275.696,0.905
84,2,5.8,11.093,13,1073.343,1.1867,27.1419,1273.777,0.9068
85,2,6.8,11.073,11,1069.855,1.179,28.1135,1261.399,0.9112
86,2,7.8,11.069,15,1067.921,1.1901,27.8797,1270.984,0.9048
87,2,8.8,11.064,18,1067.954,1.1843,28.0527,1264.809,0.9082
88,2,9.8,11.07,14,1069.565,1.1916,28.4872,1274.44,0.904
89,2,10.8,11.074,16,1068.919,1.1803,29.3831,1261.604,0.9105
90,2,11.8,11.081,16,1068.563,1.1848,29.866,1266.085,0.9079
91,2,12.8,11.081,13,1068.048,1.1727,30.831,1252.514,0.9149
92,2,13.8,11.088,8,1068.723,1.1878,32.325,1269.402,0.9062
